DATE,CSIndex_lag2,CSIQuarter,CSIYr,CSIYrQrtr,QtrSold,PercChng
2013-04-01,160.64,Q2,2013,2013Q2,2013Q4,0.00815865444960451
2013-07-01,163,Q3,2013,2013Q3,2014Q1,0.014691235059761
2013-10-01,167.27,Q4,2013,2013Q4,2014Q2,0.026196319018405
2014-01-01,164.12,Q1,2014,2014Q1,2014Q3,-0.0188318287798171
2014-04-01,167.49,Q2,2014,2014Q2,2014Q4,0.0205337557884475
2014-07-01,171.68,Q3,2014,2014Q3,2015Q1,0.02501641889068
2014-10-01,172.65,Q4,2014,2014Q4,2015Q2,0.00565004659832245
2015-01-01,170.43,Q1,2015,2015Q1,2015Q3,-0.0128583840139009
2015-04-01,175.64,Q2,2015,2015Q2,2015Q4,0.0305697353752272
2015-07-01,176.61,Q3,2015,2015Q3,2016Q1,0.00552265998633584
2015-10-01,179.73,Q4,2015,2015Q4,2016Q2,0.0176660438253778
2016-01-01,180.35,Q1,2016,2016Q1,2016Q3,0.0034496188727536
2016-04-01,185.63,Q2,2016,2016Q2,2016Q4,0.0292764069864153
2016-07-01,183.64,Q3,2016,2016Q3,2017Q1,-0.0107202499595971
2016-10-01,185.34,Q4,2016,2016Q4,2017Q2,0.00925724243084305
